"No.","Ticker","Performance (Week)","Performance (Month)","Performance (Quarter)","Performance (Half Year)","Performance (YTD)","Performance (Year)","Performance (3 Years)","Performance (5 Years)","Performance (10 Years)","Volatility (Week)","Volatility (Month)","Average Volume","Relative Volume","Price","Change","Volume"
1,"AA",-2.14%,15.37%,-34.55%,-22.06%,-6.91%,55.57%,75.24%,12.10%,,4.47%,3.83%,5716.06,0.03,49.47,-0.50%,7781
2,"AAAA",-0.26%,2.76%,0.51%,8.38%,12.10%,18.49%,,,,0.23%,0.35%,6.26,0.00,30.65,0.00%,0
3,"AAAC",0.05%,0.20%,0.15%,0.07%,0.30%,,,,,0.00%,0.00%,75.28,0.00,20.11,0.00%,0
4,"AAAP",0.08%,0.32%,,,1.13%,,,,,0.15%,0.08%,63.56,0.00,25.41,0.00%,0
5,"AAAU",1.01%,13.15%,1.73%,-12.00%,5.99%,34.47%,137.74%,149.24%,,1.29%,1.26%,1486.08,0.04,45.10,-0.40%,3262
6,"AAC-U",0.00%,0.89%,,,1.19%,,,,,0.25%,0.42%,493.05,0.00,10.19,0.00%,0
7,"AACB",,0.38%,1.44%,2.41%,2.82%,4.54%,,,,0.13%,0.31%,49.38,0.00,10.59,0.00%,0
8,"AACI",0.40%,0.60%,1.21%,,1.01%,,,,,0.12%,0.13%,43.73,0.00,10.05,0.00%,0
9,"AACO",0.19%,0.49%,1.10%,,0.39%,,,,,0.02%,0.07%,23.66,0.00,9.99,0.00%,0
10,"AACP",0.30%,0.40%,,,1.11%,,,,,0.29%,0.13%,172.89,0.00,10.06,0.00%,0
11,"AADR",0.47%,3.64%,-2.83%,-11.29%,-2.32%,1.31%,63.44%,24.22%,107.52%,0.65%,1.14%,2.84,0.00,84.25,0.00%,0
12,"AAEQ",-0.28%,3.53%,2.21%,10.84%,10.87%,,,,,0.11%,0.22%,0.75,0.00,54.69,0.00%,0
13,"AAMI",5.06%,15.94%,28.39%,69.50%,103.51%,86.89%,351.82%,250.88%,617.02%,2.15%,3.37%,468.34,0.00,95.65,0.00%,0
14,"AAPR",-0.10%,1.03%,0.93%,4.03%,4.84%,7.63%,,,,0.15%,0.17%,3.90,0.00,29.79,0.00%,0
15,"AAUA",-0.62%,3.11%,2.63%,,17.80%,,,,,0.24%,0.12%,5.15,0.00,58.36,0.00%,0
16,"AAUB",-0.45%,3.52%,,,2.71%,,,,,0.16%,0.46%,6.98,0.00,50.82,0.00%,0
17,"AAUC",2.09%,37.40%,-13.91%,-25.50%,2.27%,67.74%,,,,3.35%,4.76%,718.04,0.01,23.40,-0.64%,511
18,"AAUS",-0.26%,3.56%,2.31%,10.52%,11.50%,18.63%,,,,0.03%,0.32%,8.66,0.00,61.44,0.00%,0
19,"AAVM",0.56%,4.61%,0.43%,2.73%,17.81%,24.77%,55.32%,25.40%,,0.05%,0.36%,1.17,0.00,34.78,0.00%,0
20,"AAXJ",1.69%,8.27%,-1.49%,8.38%,25.35%,34.68%,80.14%,35.92%,99.66%,0.96%,1.37%,570.63,0.00,116.73,0.00%,0
21,"AB",2.30%,-0.70%,-0.38%,-7.04%,-4.24%,-7.88%,21.34%,-29.19%,68.26%,1.29%,1.49%,289.95,0.00,36.85,0.00%,2
22,"ABBV",-0.74%,-1.30%,18.87%,15.66%,13.74%,24.91%,77.17%,117.33%,302.24%,1.89%,2.25%,6576.21,0.01,259.89,-1.15%,1811
23,"ABCS",0.39%,1.64%,12.68%,15.64%,19.45%,19.69%,,,,0.30%,0.45%,1.98,0.00,36.34,0.00%,0
24,"ABEQ",0.34%,1.76%,5.72%,-0.47%,9.77%,11.66%,41.28%,41.96%,,0.37%,0.44%,13.38,0.00,39.35,0.00%,0
25,"ABIG",-0.40%,3.10%,4.16%,12.94%,9.87%,13.97%,,,,0.13%,0.27%,2.03,0.00,35.17,0.00%,0
26,"ABLD",0.63%,7.55%,6.08%,-2.01%,13.61%,14.27%,19.84%,,,0.79%,0.85%,9.88,0.00,33.05,0.00%,0
27,"ABLG",0.04%,6.22%,-2.06%,-3.56%,0.64%,6.01%,20.45%,-11.66%,,0.35%,1.13%,2.44,0.00,31.91,0.00%,0
28,"ABNB",0.83%,21.91%,38.69%,36.19%,37.44%,43.66%,48.29%,20.99%,,2.10%,3.08%,4248.91,0.02,186.54,-0.81%,3818
29,"ABOT",-0.48%,5.69%,12.86%,27.73%,11.75%,13.69%,74.54%,50.93%,,0.00%,0.35%,0.35,0.00,43.69,0.00%,0
30,"ABSI",0.32%,34.93%,53.13%,231.32%,166.76%,265.10%,454.17%,-52.98%,,6.96%,7.04%,4982.72,0.01,9.31,0.98%,2230
31,"ABT",-0.84%,4.80%,31.15%,-2.65%,-9.67%,-13.91%,8.61%,-9.16%,163.33%,1.80%,2.10%,11756.25,0.00,113.18,-0.81%,2003
32,"ABUF",-0.11%,1.75%,3.13%,,9.81%,,,,,0.13%,0.15%,5.41,0.00,27.59,0.00%,0
33,"ABUS",4.22%,17.69%,11.85%,12.83%,7.90%,42.19%,155.67%,59.69%,40.65%,3.49%,3.76%,2671.08,0.00,5.19,0.00%,0
34,"ACA",0.18%,0.55%,14.57%,14.24%,37.00%,46.92%,90.38%,178.88%,,0.24%,0.30%,736.07,0.01,145.66,0.28%,545
35,"ACAA",0.30%,0.20%,0.91%,,-0.30%,,,,,0.06%,0.02%,26.88,0.00,10.02,0.00%,0
36,"ACAD",1.96%,12.41%,36.89%,20.17%,10.86%,11.44%,3.53%,73.06%,-9.89%,3.08%,3.44%,1618.51,0.00,29.61,0.10%,301
37,"ACCL",-2.25%,31.16%,93.15%,94.48%,4.06%,,,,,4.50%,5.61%,444.20,0.00,2.82,0.00%,0
38,"ACEP",0.47%,5.38%,6.39%,15.22%,28.38%,,,,,0.43%,0.32%,2.53,0.00,20.92,0.00%,0
39,"ACFN",10.01%,9.90%,24.93%,14.43%,39.74%,-25.56%,266.32%,144.21%,624.59%,8.94%,7.34%,26.57,0.00,21.10,0.00%,0
40,"ACGC",0.10%,0.50%,,,0.70%,,,,,0.00%,0.11%,129.66,0.00,10.01,0.00%,0
41,"ACGL",1.28%,-3.79%,10.93%,0.94%,4.86%,9.68%,41.75%,153.36%,300.37%,1.40%,1.90%,2007.88,0.00,100.58,-0.14%,489
42,"ACGO",-0.47%,5.40%,,,-3.64%,,,,,0.03%,0.03%,13.12,0.00,37.99,0.00%,0
43,"ACGR",-0.58%,5.08%,-1.34%,8.17%,4.59%,10.23%,68.08%,62.81%,,0.20%,0.22%,0.31,0.00,69.07,0.00%,0
44,"ACHR",-1.97%,33.26%,-12.33%,-19.11%,-20.61%,-34.75%,3.29%,-40.24%,,5.54%,7.71%,40803.93,0.01,5.97,1.19%,22021
45,"ACHX",-17.47%,37.24%,,,32.56%,,,,,1.77%,3.18%,0.69,0.00,33.76,0.00%,0
46,"ACIO",-0.40%,2.74%,0.41%,6.79%,7.23%,10.41%,51.02%,52.78%,,0.44%,0.64%,138.87,0.00,46.86,0.00%,0
47,"ACLC",0.28%,4.10%,2.87%,8.93%,10.28%,14.82%,57.41%,52.59%,,0.45%,0.58%,12.10,0.00,86.40,0.00%,0
48,"ACLO",0.12%,0.00%,0.02%,-0.02%,0.43%,0.09%,,,,0.04%,0.06%,42.14,0.00,50.49,0.00%,0
49,"ACNB",1.72%,-0.37%,19.33%,26.87%,34.27%,39.46%,92.63%,124.09%,139.72%,2.06%,1.97%,73.41,0.00,64.32,0.00%,0
50,"ACNT",0.65%,-0.26%,10.28%,-10.43%,-4.57%,28.75%,72.43%,35.65%,115.18%,2.66%,2.80%,70.38,0.00,15.45,0.00%,0
51,"ACOM",-0.43%,8.74%,,,14.93%,,,,,0.84%,0.87%,5.52,0.00,23.20,0.00%,0
52,"ACSG",-1.07%,2.92%,4.95%,16.21%,21.14%,,,,,1.48%,0.68%,6.29,0.00,49.47,0.00%,0
53,"ACSI",0.44%,0.92%,6.72%,15.66%,16.46%,18.07%,70.80%,52.15%,,0.09%,0.19%,0.29,0.00,77.68,0.00%,0
54,"ACSV",-0.49%,0.13%,6.84%,13.79%,23.05%,,,,,0.10%,0.31%,2.90,0.00,50.12,0.00%,0
55,"ACT",-1.01%,2.58%,15.44%,16.23%,24.14%,29.06%,74.58%,,,1.39%,1.88%,350.22,0.00,49.21,0.00%,0
56,"ACU",2.00%,4.58%,49.75%,36.97%,54.50%,50.91%,99.68%,60.97%,204.10%,3.80%,3.86%,25.38,0.00,62.28,0.00%,0
57,"ACVF",-0.20%,3.79%,3.94%,10.31%,12.68%,14.82%,64.12%,67.90%,,0.34%,0.56%,5.25,0.00,55.65,0.00%,0
58,"ACVT",0.56%,2.36%,4.21%,7.70%,7.57%,8.28%,,,,0.12%,0.09%,3.82,0.00,28.79,0.00%,0
59,"ACVU",-0.03%,2.16%,6.35%,12.79%,18.12%,25.10%,,,,0.52%,0.51%,7.61,0.00,32.37,0.00%,0
60,"ACWI",1.00%,5.97%,2.10%,9.21%,14.19%,20.86%,71.01%,55.49%,175.95%,0.50%,0.81%,2925.04,0.00,161.57,0.42%,265
61,"ACWV",0.79%,2.00%,4.36%,2.66%,7.31%,6.94%,31.38%,19.80%,67.06%,0.46%,0.56%,102.93,0.00,127.43,0.00%,1
62,"ACWX",1.46%,7.19%,2.59%,5.09%,16.83%,24.89%,63.46%,37.37%,92.01%,0.55%,0.80%,1754.52,0.01,78.43,0.68%,1057
63,"ACYN",0.29%,1.02%,-0.43%,3.15%,3.28%,,,,,0.34%,0.40%,1757.78,0.00,20.78,0.00%,0
64,"ACYQ",-0.03%,6.13%,,,3.66%,,,,,0.63%,0.91%,74.45,0.00,20.94,0.00%,0
65,"ACYS",0.39%,0.88%,0.88%,,2.39%,,,,,0.65%,0.69%,350.18,0.00,20.60,0.00%,0
66,"AD",1.05%,1.89%,-11.22%,-8.05%,1.45%,0.49%,97.87%,149.60%,109.34%,2.22%,2.39%,355.01,0.00,35.66,0.00%,0
67,"ADAC",-0.40%,-0.20%,0.60%,1.52%,1.01%,,,,,0.22%,0.22%,17.70,0.00,10.05,0.00%,0
68,"ADBU",2.66%,7.21%,18.51%,,16.89%,,,,,2.60%,6.88%,56.27,0.04,28.83,1.35%,100
69,"ADIV",1.01%,3.22%,4.77%,3.49%,10.51%,10.21%,51.34%,21.92%,,0.51%,0.48%,5.65,0.00,20.03,0.00%,0
