"Ticker","Company","Price","P/E","Forward P/E","P/S","Current Ratio","Return on Equity","Return on Invested Capital","Gross Margin","Profit Margin","EPS Growth This Year","EPS Growth Next Year","Quick Ratio","IPO Date"
"A","Agilent Technologies Inc",153.84,30.29,22.84,5.89,2.05,20.97%,13.08%,56.78%,19.53%,10.76%,8.79%,1.56,11/18/1999
"AAMI","Acadian Asset Management Inc",95.76,33.79,14.66,4.89,1.06,200.40%,29.42%,96.56%,14.59%,65.38%,21.49%,1.06,10/9/2014
"ABNB","Airbnb Inc",189.43,43.06,30.55,8.58,1.41,34.54%,26.19%,72.56%,20.35%,31.01%,17.45%,1.41,12/10/2020
"ABUS","Arbutus Biopharma Corp",5.07,6.47,,5.52,81.42,89.58%,58.45%,99.98%,84.23%,535.29%,-110.81%,81.42,7/23/2007
"ACAD","Acadia Pharmaceuticals Inc",29.11,13.11,32.03,4.41,3.39,35.74%,27.85%,91.13%,33.42%,-73.34%,48.25%,3.30,5/27/2004
"ACCL","Acco Group Holdings Ltd",2.92,573.53,,64.76,4.22,14.77%,9.40%,41.69%,11.29%,,,4.22,10/17/2025
"ACFN","Acorn Energy Inc",19.73,32.55,,5.17,2.12,19.73%,16.13%,80.29%,16.12%,,,1.78,2/11/1992
"ACIW","ACI Worldwide Inc",53.83,24.63,18.31,2.99,1.58,15.62%,9.83%,43.70%,12.40%,19.91%,13.51%,1.58,2/24/1995
"ADMA","Adma Biologics Inc",9.34,13.26,9.90,4.08,6.97,41.90%,27.83%,64.67%,32.98%,21.30%,18.41%,3.81,10/17/2013
"ADP","Automatic Data Processing Inc",287.48,26.27,21.47,5.20,1.05,72.24%,39.05%,50.67%,20.11%,10.23%,9.22%,1.05,6/26/1967
"AEM","Agnico Eagle Mines Ltd",206.25,17.63,16.66,7.23,2.86,22.97%,20.33%,61.34%,40.44%,45.33%,2.88%,2.02,11/1/1982
"AFRM","Affirm Holdings Inc",77.76,14.09,28.26,6.64,7.52,45.13%,12.80%,76.78%,48.87%,-65.47%,44.08%,7.52,1/13/2021
"AFYA","Afya Ltd",14.59,8.88,7.51,1.84,2.20,16.62%,9.82%,64.02%,20.48%,-8.39%,11.86%,2.20,7/19/2019
"AG","First Majestic Silver Corp",20.76,29.76,20.84,6.24,2.57,12.73%,10.77%,49.63%,21.18%,77.17%,22.21%,2.38,2/12/2004
"AGI","Alamos Gold Inc",36.75,13.23,13.00,6.90,1.78,27.41%,23.40%,60.13%,52.64%,57.75%,28.02%,1.38,7/6/2015
"AGYS","Agilysys Inc",117.88,78.10,36.82,10.07,1.74,13.80%,12.20%,60.20%,12.99%,37.22%,30.33%,1.67,3/17/1980
"AKO-A","Embotelladora Andina SA ADR",23.77,12.29,10.61,0.49,1.61,24.84%,11.76%,39.59%,8.42%,6.34%,6.64%,1.08,7/7/1994
"ALLE","Allegion plc",157.48,20.66,16.10,3.12,1.93,33.73%,15.34%,44.80%,15.36%,9.95%,9.31%,1.23,11/18/2013
"AMG","Affiliated Managers Group Inc",370.87,12.94,8.60,4.21,1.29,27.29%,14.17%,93.99%,37.63%,41.85%,16.76%,1.29,11/21/1997
"AMGN","AMGEN Inc",432.42,26.86,17.71,6.12,1.37,91.47%,13.76%,72.71%,22.89%,5.66%,5.80%,1.13,6/17/1983
"AMP","Ameriprise Financial Inc",559.32,13.49,10.82,2.49,8.47,63.43%,31.09%,51.56%,19.91%,18.28%,11.18%,8.47,9/15/2005
"ANET","Arista Networks Inc",195.38,61.60,37.39,23.38,2.96,31.48%,27.33%,63.00%,38.37%,37.81%,27.24%,2.59,6/6/2014
"AON","Aon Plc",355.40,19.60,16.65,4.29,1.03,44.88%,16.82%,89.58%,22.27%,11.82%,11.84%,1.03,6/2/1980
"APPF","Appfolio Inc",234.49,53.46,27.79,7.98,3.69,32.09%,28.29%,61.56%,15.13%,30.43%,22.28%,3.69,6/26/2015
"ARGX","Argen X SE ADR",1023.21,39.00,26.52,12.26,5.12,23.62%,20.27%,89.49%,32.82%,47.96%,33.23%,4.89,5/18/2017
"ARIS","Aris Mining Corp",20.27,14.75,6.69,3.30,1.91,21.13%,12.84%,51.24%,22.43%,67.83%,41.08%,1.68,1/14/2005
"ASM","Avino Silver & Gold Mines Ltd",7.47,28.04,13.75,10.45,5.85,21.05%,15.65%,55.48%,37.02%,98.53%,60.99%,5.31,10/17/2003
"ATAT","Atour Lifestyle Holdings Ltd ADR",35.50,17.50,12.89,2.39,1.93,58.78%,45.76%,43.09%,16.75%,22.27%,20.70%,1.89,11/11/2022
"ATNI","ATN International Inc",30.06,2.92,27.83,0.63,1.63,31.31%,13.56%,39.31%,21.68%,990.58%,-91.21%,1.59,11/14/1991
"ATNM","Actinium Pharmaceuticals Inc",1.01,2.83,,0.91,4.08,45.86%,36.60%,96.97%,32.23%,112.84%,-475.00%,4.08,6/2/2011
"AU","AngloGold Ashanti Plc",113.19,15.15,12.12,4.83,2.71,46.50%,35.67%,57.69%,32.19%,66.62%,4.39%,2.07,8/5/1998
"AUPH","Aurinia Pharmaceuticals Inc",16.29,7.12,13.83,6.96,5.42,66.12%,47.53%,90.36%,100.84%,-54.40%,24.79%,4.97,10/20/2003
"AVPT","AvePoint Inc",14.00,44.33,28.25,6.35,2.00,16.25%,15.77%,73.33%,15.33%,36.04%,10.39%,2.00,11/5/2019
"AWI","Armstrong World Industries Inc",175.09,23.99,18.27,4.36,1.52,36.62%,21.97%,40.30%,18.60%,13.85%,13.59%,1.06,10/11/2006
"AXIL","AXIL Brands Inc",6.38,19.53,6.85,1.41,3.19,23.67%,20.21%,62.44%,8.75%,112.12%,32.86%,2.20,12/3/2018
"AYA","Aya Gold & Silver Inc",27.97,36.59,,11.72,2.02,25.70%,20.61%,61.36%,32.79%,,,1.70,2/1/2010
"B","Barrick Mining Corp",45.65,11.74,11.08,3.64,3.01,25.04%,20.41%,53.19%,31.60%,49.98%,13.52%,2.36,2/1/1985
"BAM","Brookfield Asset Management Ltd",52.12,30.08,23.96,14.51,1.24,35.10%,25.55%,94.81%,48.89%,11.56%,18.18%,1.24,7/2/1962
"BHP","BHP Group Limited ADR",95.15,24.56,19.42,4.10,1.88,20.00%,13.08%,39.13%,16.73%,-4.65%,-1.18%,1.48,3/17/1980
"BLFS","Biolife Solutions Inc",36.38,37.62,116.60,17.30,9.69,13.15%,11.00%,64.76%,46.35%,340.00%,-48.00%,7.14,11/22/1989
"BLK","Blackrock Inc",1164.48,28.97,18.03,6.85,4.46,12.32%,9.06%,76.80%,23.80%,17.32%,14.50%,4.46,10/1/1999
"BMY","Bristol-Myers Squibb Co",66.58,14.67,10.16,2.76,1.53,46.70%,14.03%,66.64%,18.87%,12.67%,-5.44%,1.38,7/5/1929
"BOX","Box Inc",34.98,50.48,20.05,3.89,1.00,70.23%,19.46%,79.55%,8.14%,7.25%,12.95%,1.00,1/23/2015
"BRC","Brady Corp",93.25,21.24,14.23,2.71,2.01,16.70%,14.81%,51.14%,12.93%,14.57%,24.38%,1.36,6/28/1984
"BSM","Black Stone Minerals LP",14.75,12.32,12.83,7.03,3.76,25.59%,21.66%,76.57%,56.93%,-21.88%,15.00%,3.76,5/1/2015
"BVC","BitVentures Ltd",13.00,23.88,,330.91,610.62,19.70%,17.41%,91.69%,521.23%,,,609.67,3/26/2021
"BVN","Compania de Minas Buenaventura SA ADR",35.12,7.94,8.86,4.04,2.59,28.77%,22.44%,50.76%,50.90%,45.93%,-11.80%,2.43,5/15/1996
"BVS","Bioventus Inc",13.84,17.85,15.04,2.00,1.69,27.96%,11.61%,67.82%,9.36%,14.28%,18.44%,1.17,2/11/2021
"BZ","Kanzhun Ltd ADR",17.80,12.61,12.17,5.60,4.19,24.39%,21.29%,85.92%,53.22%,6.96%,16.79%,4.19,6/11/2021
"CAI","Caris Life Sciences Inc",25.63,68.84,72.37,7.32,5.53,20.13%,10.13%,69.66%,10.62%,130.58%,184.37%,4.88,6/18/2025
"CARG","CarGurus Inc",36.56,19.85,12.09,3.34,1.71,51.41%,40.02%,89.85%,18.06%,15.10%,15.20%,1.71,10/12/2017
"CART","Maplebear Inc",50.54,27.83,16.97,2.93,2.28,15.96%,18.79%,71.98%,11.80%,46.76%,26.81%,2.28,9/19/2023
"CBOE","Cboe Global Markets Inc",310.45,24.18,20.79,6.41,1.57,26.19%,20.63%,51.71%,26.62%,31.62%,6.33%,1.57,6/15/2010
"CCSI","Consensus Cloud Solutions Inc",38.00,7.71,6.09,1.96,1.90,1254.76%,15.83%,80.24%,26.69%,5.87%,4.87%,1.90,9/30/2021
"CDNA","Caredx Inc",49.79,24.00,36.75,5.62,4.58,29.49%,25.30%,70.11%,24.23%,109.20%,11.68%,4.51,7/17/2014
"CF","CF Industries Holdings Inc",125.79,9.33,11.96,2.46,4.86,39.19%,22.67%,45.69%,27.12%,58.57%,-30.67%,4.32,8/11/2005
"CGEN","Compugen Ltd",2.60,7.02,,3.33,5.72,50.64%,38.61%,86.89%,47.55%,-173.68%,1.43%,5.72,8/11/2000
"CHKP","Check Point Software Technologies Ltd",138.32,14.17,12.26,5.11,1.67,37.64%,22.25%,85.52%,37.93%,-12.16%,8.05%,1.67,6/28/1996
"CKX","CKX Lands Inc",11.37,8.02,,33.83,124.62,14.43%,13.46%,95.09%,419.79%,,,124.62,7/13/1999
"CMCL","Caledonia Mining Corp Plc",25.63,7.61,9.32,1.79,5.73,24.60%,16.24%,53.24%,23.61%,0.41%,-3.23%,5.03,9/24/1984
"CME","CME Group Inc",285.80,24.24,22.11,15.17,1.02,15.80%,14.13%,82.65%,63.11%,9.51%,5.41%,1.02,12/6/2002
"CMRE","Costamare Inc",15.41,5.84,5.98,2.27,1.61,16.26%,9.70%,52.47%,38.72%,-16.19%,-1.53%,1.57,11/4/2010
"CNS","Cohen & Steers Inc",82.73,25.40,20.97,6.94,5.22,30.11%,23.25%,86.06%,27.45%,12.78%,13.20%,5.22,8/13/2004
"CPRT","Copart Inc",32.99,20.55,19.75,6.58,7.44,17.69%,17.55%,44.95%,33.48%,-0.49%,5.59%,7.37,3/17/1994
"CRCT","Cricut Inc",5.80,14.07,24.54,1.76,2.49,25.90%,23.36%,57.94%,12.71%,0.00%,-32.48%,1.96,3/25/2021
"CRMD","CorMedix Inc",8.30,3.94,138.33,1.40,2.56,54.93%,30.89%,82.78%,40.49%,-76.08%,-87.70%,2.36,5/13/2010
"CVSA","Covista Inc",134.47,20.52,13.44,2.34,1.09,18.57%,11.57%,60.28%,13.68%,9.64%,10.61%,1.09,6/21/1991
"DAC","Danaos Corp",150.68,5.10,5.55,2.60,9.30,14.14%,10.32%,55.10%,51.26%,9.56%,-5.65%,9.15,10/6/2006
"DAVE","Dave Inc",378.55,24.55,19.06,7.50,4.22,104.78%,55.50%,88.15%,34.59%,0.18%,46.49%,4.22,4/26/2021
"DDI","DoubleDown Interactive Co Ltd ADR",12.77,5.04,5.21,1.67,18.82,12.71%,11.67%,95.25%,33.05%,23.77%,-4.37%,18.82,8/31/2021
"DDS","Dillard's Inc",620.29,14.20,18.10,1.47,3.03,33.75%,27.40%,38.52%,10.33%,15.50%,-13.04%,1.58,10/27/1969
"DEFT","DeFi Technologies Inc",0.62,10.12,30.97,8.95,1.16,22.54%,16.59%,76.68%,88.09%,-112.75%,192.31%,1.16,8/4/2004
"DHT","DHT Holdings Inc",19.66,6.69,10.10,4.39,3.64,39.18%,27.56%,59.47%,65.60%,173.95%,-45.77%,3.32,10/13/2005
"DMLP","Dorchester Minerals LP",28.65,16.35,,7.32,13.85,26.71%,27.07%,52.85%,43.92%,,,13.85,2/3/2003
"DOCS","Doximity Inc",26.73,31.70,17.20,7.27,6.04,17.21%,18.09%,87.41%,25.48%,-11.46%,15.51%,6.04,6/24/2021
"DRD","DRDGold Ltd ADR",28.77,9.90,7.09,3.76,3.62,39.57%,32.48%,53.12%,38.13%,11.61%,19.51%,3.07,5/16/1994
"DUOL","Duolingo Inc",146.98,17.63,43.96,6.01,2.72,34.42%,27.46%,72.22%,35.87%,-67.66%,21.07%,2.72,7/28/2021
"DXCM","Dexcom Inc",90.82,35.85,29.10,6.90,1.73,38.49%,25.00%,63.57%,20.12%,27.63%,16.98%,1.43,4/14/2005
"ECL","Ecolab Inc",286.75,38.47,30.50,4.77,1.84,21.85%,9.39%,44.24%,12.57%,8.30%,15.27%,1.57,3/17/1980
"ECO","Okeanis Eco Tankers Corp",66.86,6.23,9.65,3.63,4.43,61.59%,25.97%,65.87%,56.92%,328.54%,-57.13%,4.13,3/30/2020
"EDU","New Oriental Education & Technology Group Inc ADR",58.83,19.70,11.54,1.65,1.50,12.47%,10.48%,54.64%,8.39%,23.39%,15.75%,1.47,9/7/2006
"EGAN","eGain Corp",7.40,5.35,17.34,2.20,2.13,53.70%,41.25%,72.21%,41.68%,101.67%,5.79%,2.13,9/23/1999
"EHLD","Euroholdings Ltd",9.62,2.86,,1.14,3.10,43.05%,21.76%,51.02%,40.00%,,,2.89,3/11/2025
"EOG","EOG Resources Inc",143.35,11.15,10.01,2.82,1.85,22.51%,17.29%,43.24%,25.75%,62.96%,-13.50%,1.68,10/4/1989
"EPAC","Enerpac Tool Group Corp",37.61,21.26,18.26,3.03,2.67,21.64%,15.58%,49.05%,14.72%,3.04%,10.46%,2.04,8/5/1987
"ESEA","Euroseas Ltd",76.63,3.94,4.66,2.22,5.46,29.49%,19.21%,66.03%,59.98%,-9.18%,-8.18%,5.38,5/5/2006
"ESTC","Elastic N.V",99.91,27.98,25.41,5.76,1.71,33.12%,19.91%,75.50%,20.84%,30.28%,17.44%,1.71,10/5/2018
"ETON","Eton Pharmaceuticals Inc",59.78,158.06,24.32,16.18,1.52,35.97%,19.01%,57.87%,12.02%,260.41%,94.87%,1.30,11/13/2018
"EVER","EverQuote Inc",25.66,8.35,11.25,1.20,3.33,53.61%,44.48%,97.65%,15.16%,-23.74%,13.72%,3.33,6/28/2018
"FAST","Fastenal Co",49.78,42.36,35.50,6.53,4.18,34.34%,31.20%,42.77%,15.45%,16.08%,10.82%,2.21,8/20/1987
"FATN","Fatpipe Inc",6.14,15.80,11.66,4.27,3.98,23.26%,17.47%,76.38%,26.87%,28.57%,17.04%,3.79,4/8/2025
"FHI","Federated Hermes Inc",64.41,11.98,10.80,2.47,2.59,33.23%,23.34%,73.88%,20.22%,7.06%,8.57%,2.59,5/14/1998
"FIEE","FiEE Inc",4.07,10.97,,2.65,2.84,64.02%,40.34%,81.87%,26.52%,,,2.84,10/6/2009
"FIGR","Figure Technology Solutions Inc",36.05,39.51,24.43,13.24,1.40,26.22%,13.69%,82.68%,32.72%,123.14%,22.46%,1.40,9/11/2025
"FIGS","Figs Inc",15.42,47.71,39.58,3.61,4.96,14.76%,12.61%,67.40%,8.72%,93.76%,5.82%,3.65,5/27/2021
"FNV","Franco-Nevada Corp",266.16,34.78,28.36,22.18,9.38,19.91%,17.93%,77.30%,63.85%,50.88%,11.49%,9.37,12/6/2007
"FRO","Frontline Plc",44.19,6.62,11.06,3.62,1.87,53.84%,27.92%,51.53%,54.76%,422.13%,-54.97%,1.87,8/6/2001
"FRPT","Freshpet Inc",70.82,18.66,38.11,2.89,6.05,17.62%,11.78%,39.41%,17.28%,-26.75%,-3.91%,5.03,11/7/2014
"FRSH","Freshworks Inc",13.86,21.23,16.63,4.00,1.63,19.70%,20.10%,83.93%,20.49%,1.37%,24.53%,1.63,9/22/2021
"FSM","Fortuna Mining Corp",12.26,10.62,6.96,3.07,3.00,23.19%,19.19%,56.78%,32.02%,96.21%,22.90%,2.50,7/27/2005
"FTDR","Frontdoor Inc",82.89,21.93,15.96,2.66,1.59,101.86%,19.15%,51.61%,12.76%,15.20%,10.24%,1.59,9/13/2018
"FTNT","Fortinet Inc",166.00,58.49,43.97,16.18,1.28,117.44%,103.55%,80.20%,28.17%,24.99%,9.44%,1.19,11/18/2009
"FUTU","Futu Holdings Ltd ADR",124.26,12.28,9.94,3.59,1.13,30.94%,28.32%,94.52%,42.92%,-4.05%,27.26%,1.13,3/8/2019
"GAP","Gap Inc",23.48,7.01,8.86,0.55,1.82,33.78%,13.77%,43.18%,8.14%,13.78%,9.35%,1.11,5/19/1976
"GFF","Griffon Corp",98.98,21.97,16.08,2.02,2.41,229.23%,14.26%,42.85%,9.28%,-4.45%,14.00%,1.79,7/9/1968
"GFI","Gold Fields Ltd ADR",45.96,9.42,8.81,3.66,1.87,58.76%,38.29%,57.32%,39.21%,64.76%,5.55%,1.87,3/17/1980
"GGG","Graco Inc",79.29,24.91,22.73,5.66,2.99,21.24%,21.02%,52.64%,23.53%,11.19%,6.37%,2.14,11/3/1982
"GLBE","Global E Online Ltd",39.95,45.57,24.56,6.05,2.07,16.96%,16.65%,44.30%,13.87%,208.91%,35.02%,2.07,5/12/2021
"GPRK","Geopark Limited",9.83,6.63,6.67,1.26,1.17,28.57%,9.81%,42.81%,16.00%,13.35%,34.76%,1.15,8/29/2007
"GRMN","Garmin Ltd",285.19,29.41,25.55,7.17,3.02,21.89%,20.39%,60.08%,24.47%,18.55%,10.01%,2.08,12/8/2000
"GSL","Global Ship Lease Inc",44.52,4.30,4.90,2.06,2.13,21.35%,15.55%,52.24%,47.87%,-3.11%,-8.54%,2.06,9/29/2006
"HALO","Halozyme Therapeutics Inc",105.35,31.48,10.22,7.19,2.71,173.67%,19.87%,76.40%,24.86%,101.27%,23.43%,2.31,3/12/2004
"HAS","Hasbro Inc",94.23,16.94,14.48,2.67,1.66,167.83%,19.58%,62.69%,15.97%,10.98%,5.86%,1.46,8/11/1971
"HL","Hecla Mining Co",20.38,26.13,19.55,8.54,5.20,20.76%,19.53%,51.08%,32.83%,69.69%,40.77%,4.55,7/2/1962
"HNGE","Hinge Health Inc",87.35,67.26,27.91,9.79,1.25,29.63%,30.74%,84.49%,14.77%,-10.25%,33.09%,1.16,5/22/2025
"HOOD","Robinhood Markets Inc",104.26,46.17,37.15,18.78,1.22,23.56%,17.45%,94.99%,41.43%,2.13%,34.07%,1.22,7/29/2021
"HQI","HireQuest Inc",16.38,27.93,19.38,7.55,2.74,12.49%,11.85%,89.79%,27.06%,9.15%,9.03%,2.74,6/6/2002
"HRB","H&R Block Inc",52.48,9.17,7.60,1.64,1.13,707.45%,36.53%,44.33%,18.43%,15.74%,12.37%,1.13,10/13/1969
"HRMY","Harmony Biosciences Holdings Inc",39.21,12.71,9.17,2.38,3.48,20.46%,15.93%,72.94%,18.88%,45.48%,8.52%,3.45,8/19/2020
"HTHT","H World Group Limited ADR",47.82,21.61,15.78,3.86,1.21,38.20%,11.16%,40.86%,18.93%,15.69%,13.35%,1.20,3/26/2010
"IAG","Iamgold Corp",20.59,10.43,8.63,3.19,1.71,29.53%,23.56%,49.33%,31.40%,73.28%,11.95%,1.05,12/2/2002
"IBKR","Interactive Brokers Group Inc",95.84,38.16,30.16,3.84,1.05,20.99%,18.68%,95.31%,9.97%,23.91%,17.09%,1.05,5/4/2007
"IDCC","Interdigital Inc",335.15,38.67,36.22,10.97,1.74,26.40%,24.66%,78.66%,38.32%,-23.11%,1.98%,1.74,11/12/1981
"IDR","Idaho Strategic Resources Inc",32.33,22.70,23.43,10.06,12.17,26.36%,18.37%,50.11%,44.00%,20.18%,0.73%,11.66,12/9/1994
"ILMN","Illumina Inc",215.59,40.18,35.51,7.24,1.80,32.38%,17.25%,66.81%,18.35%,10.50%,13.53%,1.40,7/28/2000
"INCY","Incyte Corp",124.37,15.85,14.56,4.33,4.59,30.67%,25.30%,91.42%,27.71%,-44.67%,127.05%,4.51,11/4/1993
"INSP","Inspire Medical Systems Inc",61.44,13.34,41.79,1.98,8.55,17.96%,15.80%,86.13%,15.03%,-50.67%,23.15%,6.16,5/3/2018
"INSW","International Seaways Inc",98.81,6.31,13.89,3.89,5.94,37.41%,27.08%,59.53%,61.86%,187.00%,-54.26%,5.76,11/16/2016
"INTU","Intuit Inc",358.06,21.70,13.11,4.57,1.51,23.60%,17.51%,81.60%,21.29%,-0.37%,12.94%,1.45,3/12/1993
"IPAR","Interparfums Inc",117.78,22.52,23.06,2.51,3.31,19.62%,17.12%,63.82%,11.17%,-6.81%,4.61%,2.00,2/4/1988
"JKHY","Jack Henry & Associates Inc",169.73,24.34,21.14,4.74,1.03,24.04%,23.71%,43.65%,19.76%,5.24%,9.32%,1.03,11/20/1985
"KARO","Karooooo Ltd",67.20,34.47,,6.11,1.02,29.19%,23.63%,67.96%,17.74%,15.67%,,1.01,4/1/2021
"KGC","Kinross Gold Corp",31.27,11.86,10.29,4.38,2.89,36.95%,30.59%,53.64%,37.52%,51.24%,9.16%,1.95,11/1/1982
"KNSA","Kiniksa Pharmaceuticals International Plc",78.08,79.39,38.06,7.25,3.90,14.04%,12.24%,54.45%,9.59%,85.70%,47.30%,3.49,5/24/2018
"KO","Coca-Cola Co",89.66,27.01,25.38,7.63,1.30,44.23%,19.57%,61.95%,28.31%,10.18%,6.85%,1.12,1/26/1950
"KOPN","Kopin Corp",4.48,93.33,896.00,19.09,2.18,18.55%,11.35%,41.93%,18.05%,-300.00%,125.00%,2.05,4/15/1992
"KRKR","36Kr Holdings Inc ADR",3.15,1.46,,0.15,1.40,24.11%,20.02%,63.09%,12.00%,,,1.40,11/8/2019
"KRT","Karat Packaging Inc",49.11,19.68,21.79,1.98,2.25,31.15%,23.37%,39.78%,10.18%,66.25%,-15.82%,1.25,4/15/2021
"KRYS","Krystal Biotech Inc",351.46,44.05,37.28,23.62,8.32,20.12%,17.67%,93.31%,54.82%,11.37%,23.77%,7.96,9/20/2017
"LKFT","Lakefront Biotherapeutics NV ADR",28.88,2.74,,1.64,32.82,20.22%,18.56%,97.45%,60.14%,-159.37%,15.72%,32.70,7/7/2008
"LNSR","LENSAR Inc",8.30,,130.71,1.69,2.39,159.72%,51.23%,46.82%,25.74%,102.29%,-3.20%,1.13,10/2/2020
"LOPE","Grand Canyon Education Inc",151.19,18.26,13.35,3.45,2.82,30.98%,29.56%,52.53%,19.63%,12.62%,10.74%,2.82,11/20/2008
"LPG","Dorian LPG Ltd",49.78,6.61,12.36,3.64,3.26,28.34%,19.16%,60.50%,55.00%,77.19%,-50.26%,3.24,5/8/2014
"LULU","Lululemon Athletica Inc",120.81,9.76,10.80,1.28,2.23,32.03%,22.10%,55.63%,13.03%,-18.21%,3.13%,1.29,7/27/2007
"MA","Mastercard Incorporated",595.30,32.75,25.78,14.84,1.06,241.49%,58.49%,96.60%,46.27%,17.29%,15.73%,1.06,5/25/2006
"MAKO","Mako Mining Corp",10.19,17.37,,4.27,3.11,36.63%,24.00%,47.58%,25.11%,,,2.35,9/8/2009
"MAT","Mattel Inc",15.14,11.15,9.56,0.79,1.90,20.50%,9.16%,47.13%,7.79%,-7.37%,21.29%,1.26,8/12/1963
